track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Miniyamba,Yeahman,spotify:track:5LLfL25W8ELqVXOLBhkJOP,0.702,0.508,4,-9.474,0,0.0457,0.545,0.955,0.915,0.659,89.004,audio_features,5LLfL25W8ELqVXOLBhkJOP,spotify:track:5LLfL25W8ELqVXOLBhkJOP,https://api.spotify.com/v1/tracks/5LLfL25W8ELqVXOLBhkJOP,https://api.spotify.com/v1/audio-analysis/5LLfL25W8ELqVXOLBhkJOP,250787,4
Miniyamba,Mina Shankha,spotify:track:5LLfL25W8ELqVXOLBhkJOP,0.702,0.508,4,-9.474,0,0.0457,0.545,0.955,0.915,0.659,89.004,audio_features,5LLfL25W8ELqVXOLBhkJOP,spotify:track:5LLfL25W8ELqVXOLBhkJOP,https://api.spotify.com/v1/tracks/5LLfL25W8ELqVXOLBhkJOP,https://api.spotify.com/v1/audio-analysis/5LLfL25W8ELqVXOLBhkJOP,250787,4
Miniyamba,Hajna,spotify:track:5LLfL25W8ELqVXOLBhkJOP,0.702,0.508,4,-9.474,0,0.0457,0.545,0.955,0.915,0.659,89.004,audio_features,5LLfL25W8ELqVXOLBhkJOP,spotify:track:5LLfL25W8ELqVXOLBhkJOP,https://api.spotify.com/v1/tracks/5LLfL25W8ELqVXOLBhkJOP,https://api.spotify.com/v1/audio-analysis/5LLfL25W8ELqVXOLBhkJOP,250787,4
Caravana,Zenderista,spotify:track:3U3DAn4BZ9wsZaDBcVGNv0,0.696,0.785,4,-7.685,0,0.0439,0.00591,0.877,0.104,0.578,102.999,audio_features,3U3DAn4BZ9wsZaDBcVGNv0,spotify:track:3U3DAn4BZ9wsZaDBcVGNv0,https://api.spotify.com/v1/tracks/3U3DAn4BZ9wsZaDBcVGNv0,https://api.spotify.com/v1/audio-analysis/3U3DAn4BZ9wsZaDBcVGNv0,360290,4
Pájaro,Eva de Marce,spotify:track:0kPq2bsyrh9T9t5tjCdGdX,0.559,0.377,6,-16.33,0,0.0459,0.73,0.455,0.0826,0.427,193.924,audio_features,0kPq2bsyrh9T9t5tjCdGdX,spotify:track:0kPq2bsyrh9T9t5tjCdGdX,https://api.spotify.com/v1/tracks/0kPq2bsyrh9T9t5tjCdGdX,https://api.spotify.com/v1/audio-analysis/0kPq2bsyrh9T9t5tjCdGdX,222788,4
Umza,Montoya,spotify:track:5c0DGSO5ERXXcA4Ix3uKBK,0.613,0.588,6,-9.839,0,0.031,0.0479,0.0733,0.145,0.0391,100.017,audio_features,5c0DGSO5ERXXcA4Ix3uKBK,spotify:track:5c0DGSO5ERXXcA4Ix3uKBK,https://api.spotify.com/v1/tracks/5c0DGSO5ERXXcA4Ix3uKBK,https://api.spotify.com/v1/audio-analysis/5c0DGSO5ERXXcA4Ix3uKBK,223000,4
Las Indias,Matanza,spotify:track:0oXZQauBktQA9JTOeFnzaE,0.746,0.558,8,-8.145,0,0.205,0.00876,0.875,0.14,0.404,128.135,audio_features,0oXZQauBktQA9JTOeFnzaE,spotify:track:0oXZQauBktQA9JTOeFnzaE,https://api.spotify.com/v1/tracks/0oXZQauBktQA9JTOeFnzaE,https://api.spotify.com/v1/audio-analysis/0oXZQauBktQA9JTOeFnzaE,290013,4
Chapinero,Thornato,spotify:track:0yENDAPqNW1hksxq9KUt8n,0.877,0.636,4,-7.712,0,0.114,0.0577,0.0185,0.0967,0.497,108.01,audio_features,0yENDAPqNW1hksxq9KUt8n,spotify:track:0yENDAPqNW1hksxq9KUt8n,https://api.spotify.com/v1/tracks/0yENDAPqNW1hksxq9KUt8n,https://api.spotify.com/v1/audio-analysis/0yENDAPqNW1hksxq9KUt8n,222222,4
La Vibra - Cumbia Cosmonauts Remix,El Remolón,spotify:track:2DVuGzOER5kPwQxZA2QoYh,0.761,0.867,5,-7.839,0,0.0599,0.118,0.309,0.111,0.946,100.004,audio_features,2DVuGzOER5kPwQxZA2QoYh,spotify:track:2DVuGzOER5kPwQxZA2QoYh,https://api.spotify.com/v1/tracks/2DVuGzOER5kPwQxZA2QoYh,https://api.spotify.com/v1/audio-analysis/2DVuGzOER5kPwQxZA2QoYh,196819,4
La Vibra - Cumbia Cosmonauts Remix,Miss Bolivia,spotify:track:2DVuGzOER5kPwQxZA2QoYh,0.761,0.867,5,-7.839,0,0.0599,0.118,0.309,0.111,0.946,100.004,audio_features,2DVuGzOER5kPwQxZA2QoYh,spotify:track:2DVuGzOER5kPwQxZA2QoYh,https://api.spotify.com/v1/tracks/2DVuGzOER5kPwQxZA2QoYh,https://api.spotify.com/v1/audio-analysis/2DVuGzOER5kPwQxZA2QoYh,196819,4
